Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
1,Hotspot,Hotspot,PiStar,xxxxxxxB,xxxxxxxG,433.111,OFF,0.000000,DV,OFF,88.5Hz,YES,Approximate,41.818333,12.715000,+1:0022,0 DV Lazio,Sezze,IZ0R,IZ0RIM B,IZ0RIM G,430.437500,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,41.492000,13.079500,+1:00
22,0 DV Lazio,Anzio,IR0M,IR0MA  B,IR0MA  G,430.006250,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,41.818333,12.715000,+1:00
22,0 DV Lazio,Roma,IR0M,IR0MA  A,IR0MA  G,1297.450000,DUP-,28.000000,DV,OFF,88.5Hz,YES,Approximate,41.818333,12.715000,+1:00
22,0 DV Lazio,Pomezia,IZ0R,IZ0RIN B,IZ0RIN G,430.312500,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,41.680833,12.506500,+1:00
22,0 DV Lazio,Carpineto,IU0E,IU0EUJ C,IU0EUJ G,145.512500,DUP-,0.000000,DV,OFF,88.5Hz,YES,Exact,41.605500,13.081000,+1:00
22,0 DV Lazio,Farnese,IR0U,IR0UHW B,IR0UHW G,433.700000,DUP-,0.000000,DV,OFF,88.5Hz,YES,Exact,42.012333,12.340333,+1:00
22,0 DV Lazio,Carpineto,IU0E,IU0EUJ B,IU0EUJ G,435.025000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,41.605500,13.086000,+1:00
22,0 DV Lazio,Farnese,IZ0C,IZ0CGG B,IZ0CGG G,433.450000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,42.012333,12.340333,+1:00
22,0 DV Lazio,Roma,IW0F,IW0FXN B,IW0FXN G,435.000000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,41.916333,12.436667,+1:00
22,0 DV Lazio,Roma,IR0U,IR0UIV B,IR0UIV G,430.850000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,41.856000,12.665000,+1:00
22,0 DV Lazio,Roma,IZ0D,IZ0DFP B,IZ0DFP G,431.525000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,41.846500,12.484000,+1:00
20,0 DV Umbria,Terni,I0KMJ,I0KMJ  B,I0KMJ  G,433.650000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,42.554000,12.666500,+1:00
20,0 DV Umbria,Perugia,IZ0RT,IZ0RTB B,IZ0RTB G,430.050000,DUP+,4.900000,DV,OFF,88.5Hz,YES,Exact,43.102167,12.310167,--:--
22,0 DV Lazio,Calvi,IU0D,IU0DLI B,IU0DLI G,430.000000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,41.274167,13.508667,--:--
22,0 DV Lazio,Gallinaro,IW0E,IW0EFI B,IW0EFI G,435.300000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,41.657833,13.798000,--:--
22,0 DV Lazio,Roma,IZ0O,IZ0OWE B,IZ0OWE G,433.450000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,41.914333,12.527667,--:--
28,6 DV Abruzzo,Campo Staffi,IR0UFJ,IR0UFJ B,IR0UFJ G,430.825000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,41.928667,13.336333,--:--
2,1 DV Liguria,Cast. Chiavarese,IR1DC,IR1DC  C,IR1DC  G,144.925000,DUP-,0.000000,DV,OFF,88.5Hz,YES,Exact,44.275833,9.527167,+1:00
2,1 DV Liguria,Lavagna Genova,IR1UAW,IR1UAW C,IR1UAW G,144.862500,DUP-,0.000000,DV,OFF,88.5Hz,YES,Exact,44.306000,9.374167,+1:00
2,1 DV Liguria,Lavagna Genova,IR1UAW,IR1UAW B,IR1UAW G,430.912500,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,44.306000,9.374167,+1:00
2,1 DV Liguria,Lavagna Genova,IR1UAW,IR1UAW A,IR1UAW G,1243.000000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,44.306000,9.374167,+1:00
2,1 DV Liguria,Borghetto Santo,IR1UGO,IR1UGO B,IR1UGO G,430.525000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,44.124833,8.254333,+1:00
2,1 DV Liguria,Borghetto Santo,IR1UGO,IR1UGO C,IR1UGO G,144.937500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,44.105833,8.231000,+1:00
2,1 DV Liguria,Genova,IR1DB,IR1DB  B,IR1DB  G,430.912500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,44.407000,8.961000,--:--
2,1 DV Liguria,Comeglio,IR1UBY,IR1UBY B,IR1UBY G,430.600000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,44.258000,9.502000,--:--
2,1 DV Liguria,San Giorgio,IQ1LY,IQ1LY  B,IQ1LY  G,433.450000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,44.087167,8.217500,--:--
2,1 DV Liguria,Montefreddo,IR1UFV,IR1UFV B,IR1UFV G,431.450000,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,44.307167,8.337833,--:--
4,1 DV Piemonte,Pallanzeno,IZ1ZPJ,IZ1ZPJ B,IZ1ZPJ G,430.987500,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,46.056667,8.262333,--:--
4,1 DV Piemonte,Alice Bel Colle,IR1UIV,IR1UIV B,IR1UIV G,430.875000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,44.725833,8.451167,--:--
4,1 DV Piemonte,M. Garne' TO,IR1UW,IR1UW  B,IR1UW  G,430.200000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,45.309167,7.418167,+1:00
4,1 DV Piemonte,Corio TO,IR1A,IR1A   B,IR1A   G,430.575000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,45.330000,7.546667,--:--
4,1 DV Piemonte,Arona,IW1GB,IW1GB  B,IW1GB  G,430.000000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.760000,8.549667,--:--
4,1 DV Piemonte,Grugliasco TO,IW1DGK,IW1DGK B,IW1DGK G,433.937500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.071833,7.598167,--:--
4,1 DV Piemonte,Verzuolo,IZ1RTF,IZ1RTF B,IZ1RTF G,431.550000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,44.604167,7.482167,--:--
4,1 DV Piemonte,Cantoira TO,IU1NSW,IU1NSW B,IU1NSW G,430.800000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,45.335333,7.390000,--:--
4,1 DV Piemonte,Prarostino TO,IW1GLE,IW1GLE B,IW1GLE G,435.025000,DUP-,5.000000,DV,OFF,88.5Hz,YES,Exact,44.865500,7.269500,--:--
4,1 DV Piemonte,Ceresole TO,IZ1DSJ,IZ1DSJ B,IZ1DSJ G,430.800000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,45.427167,7.246667,--:--
4,1 DV Piemonte,Ozzano,IR1UDI,IR1UDI B,IR1UDI G,430.025000,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,45.122833,8.410167,--:--
4,1 DV Piemonte,Asigliano,IU1NPI,IU1NPI B,IU1NPI G,431.400000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.250000,8.440000,--:--
4,1 DV Piemonte,Lingotto,IU1KWK,IU1KWK B,IU1KWK G,434.000000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.042833,7.643500,--:--
6,2 DV Lombardia,Bollate Milano,IR2UFV,IR2UFV B,IR2UFV G,433.625000,DUP-,0.000000,DV,OFF,88.5Hz,YES,Exact,45.546167,9.111500,+1:00
6,2 DV Lombardia,Colico,IR2UGK,IR2UGK B,IR2UGK G,430.187500,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,46.140667,9.258333,+1:00
6,2 DV Lombardia,Valcava,IR2UED,IR2UED B,IR2UED G,431.537500,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,45.788833,9.513333,+1:00
6,2 DV Lombardia,Gallarate,IR2UEZ,IR2UEZ B,IR2UEZ G,431.612500,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,45.681667,8.818000,--:--
6,2 DV Lombardia,Campo dei Fiori,IK2YYL,IK2YYL B,IK2YYL G,431.425000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,45.868167,8.773667,+1:00
6,2 DV Lombardia,M. Boletto,IR2UG,IR2UG  B,IR2UG  G,430.025000,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,45.826167,9.100500,+1:00
6,2 DV Lombardia,Bernate Ticino,IR2UEI,IR2UEI B,IR2UEI G,430.950000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.467333,8.831000,+1:00
6,2 DV Lombardia,Lecco,IR2UDW,IR2UDW B,IR2UDW G,430.237500,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,45.777167,9.458167,+1:00
6,2 DV Lombardia,Gorgonzola,IZ2NBD,IZ2NBD B,IZ2NBD G,430.912500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.529000,9.339000,--:--
6,2 DV Lombardia,Abbiategrasso,IZ2LPW,IZ2LPW C,IZ2LPW G,144.762500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.405667,8.922667,--:--
6,2 DV Lombardia,Cornaredo,IK2UCJ,IK2UCJ B,IK2UCJ G,440.000000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.518167,9.007500,--:--
6,2 DV Lombardia,Lodi,IZ2DDY,IZ2DDY B,IZ2DDY G,430.012500,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,45.309833,9.505667,--:--
6,2 DV Lombardia,Sondrio,IR2UGU,IR2UGU B,IR2UGU G,430.200000,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,46.185167,9.891167,--:--
6,2 DV Lombardia,Morbegno,IW2ESL,IW2ESL B,IW2ESL G,432.200000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,46.132167,9.581000,--:--
6,2 DV Lombardia,Caidate,IK2YYL,IK2YYL H,IK2YYL G,433.987500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.752000,8.785500,--:--
6,2 DV Lombardia,Casina Biscia,IZ2VIT,IZ2VIT B,IZ2VIT G,433.050000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.584667,9.076500,--:--
6,2 DV Lombardia,Settimo,IZ2VTO,IZ2VTO B,IZ2VTO G,433.125000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.490000,9.020000,--:--
6,2 DV Lombardia,Gorgonzola,IK2MLV,IK2MLV C,IK2MLV G,144.875000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.520000,9.373333,--:--
6,2 DV Lombardia,Melegnano,IW2GUI,IW2GUI B,IW2GUI G,435.275000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.355333,9.375667,--:--
6,2 DV Lombardia,Gallarate,IR2UEZ,IR2UEZ A,IR2UEZ G,1297.275000,DUP-,6.000000,DV,OFF,88.5Hz,YES,Exact,45.681667,8.818000,--:--
